SMILES,fingerprint
C/C=C/C(=O)C1CCC(C=C1C)(C)C,00000371E0702000000000000000000000000000000000000000200000000000000000000000001A00000000000F048080000200000000008802A05200000000002000000808010000480000120001000000000080000801830888400F00000000000000000000000000000000000000000000
COC(=O)OC,00000371804030000000000000000000000000000000000000000000000000000000000000000012000000000000000000020208000004000800000008000000000000000000000000001000000000002000000000000000000000000000000000000000000000000000000000000000000000
Cc1cc2c([nH]1)cccc2,00000371C072000000000000000000000000000000016000000030000000000000005801F000001C00100000000C08811E0032C0F2C99000A003246244008280202102200899203064980820E2C09191842008609000C8C8071080800E00000000000200000000000000040000000000000000
C1CCCCCCCC(=O)CCCCCCC1,00000371E0782000000000000000000000000000000000000000000000000000000000000000001A000000000008048080000000000000000800801000000000000000000000010000000000120000000000000000000000010888808000000000000000000000000000000000000000000000
CC(CC(=O)OC1CC2C(C1(C)CC2)(C)C)C,00000371E0703000000000000000000000000000000183000000300000000000000000000000001A00000000000F14A0800202080000040008000090080000000000000000000100000000001200000002000004000000000180C0F00F8000000000000000800002000010000180000C000000
CCC[C@H](CCO)SC,00000371E0602000400000000000000000000000000000000000000000000000000000000000001A04000800000800A4C0028200000002080000000000000000000000100000000000000010022000000040000400000000018040000000000000000000000000000000000000000000000000
CC(C)C(=O)OCc1ccco1,00000371C0703000000000000000000000000000000120000000000000000000000000018000001A00000000000D04A09002320C800004408800A8D288020208002420000888014608C80D263284351E821920A4C0110AA9868824080000000000000000000000000000000000000000000000
OC[C@H]1[C@H]2CC[C@H]3[C@@]1(C)CCCC([C@@H]23)(C)C,00000371E0702000000000000000000000000000000183000000300000000600180000000000001A00000800000F00A0800202000000020000000000000000000000000000000000000000100200000000400004000000000180C0F00F80000000000000000000040000200001000008000000
CCc1ccc(cc1)CC(C=O)(C)C,00000371E0702000000000000000000000000000000000000000300000000000000000010000001A00000000000E00A098023200800000008802285280000200002000000888010000880820328011108020002080000888070888C08F40000000000000008000000000000000000000000000
CC(C)[C@@H]1CC[C@@](C)([C@H]2CCC(=C[C@@H]12)C)O,00000371E0702000000000000000000000000000000000000000304000000000000000800000001A00000800000D4480800002000000020080022042000000000020000000080000000800000200010000400004800008000380C0F00E8000000000000000C000060000300000000000000000
O=C[C@@H]([C@H]([C@@H]([C@H](OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,00000371E0783C00000000000000000000000000000000000000000000000000000000000000001A00000000000814A08002020800000400080008908802000000000000000001400000010016000004020000052000020001CA6C0C4000000000000000000000000000000000000000000000
CC(C)Cc1ccnc2ccccc12,00000371C07200000000000000000000000000000000000000003C4000000000000000B1F000001C00000000000D08C11E043EC0F2081000A0033467440082802031022008D8203864980820E2C09191842008608000C8C8071080C00E80000000000200000000000000040000000000000000
